------Początek: 2025-06-04 22:12:30------
Time: 22:12:31.405 | Pos: (374,52, 304,12) | Vel: (2,15, 1,92)
Time: 22:12:31.405 | Pos: (308,88, 247,43) | Vel: (-3,74, -5,07)
Time: 22:12:31.405 | Pos: (264,25, 252,09) | Vel: (0,24, 0,74)
Time: 22:12:31.405 | Pos: (374,52, 304,12) | Vel: (2,15, 1,92)
Time: 22:12:31.405 | Pos: (308,88, 247,43) | Vel: (-3,74, -5,07)
Time: 22:12:31.405 | Pos: (264,25, 252,09) | Vel: (0,24, 0,74)
Time: 22:12:31.405 | Pos: (374,52, 304,12) | Vel: (2,15, 1,92)
Time: 22:12:31.405 | Pos: (308,88, 247,43) | Vel: (-3,74, -5,07)
Time: 22:12:31.405 | Pos: (264,25, 252,09) | Vel: (0,24, 0,74)
Time: 22:12:31.405 | Pos: (374,52, 304,12) | Vel: (2,15, 1,92)
Time: 22:12:31.405 | Pos: (308,88, 247,43) | Vel: (-3,74, -5,07)
Time: 22:12:31.405 | Pos: (264,25, 252,09) | Vel: (0,24, 0,74)
Time: 22:12:31.405 | Pos: (374,52, 304,12) | Vel: (2,15, 1,92)
Time: 22:12:31.405 | Pos: (308,88, 247,43) | Vel: (-3,74, -5,07)
Time: 22:12:31.405 | Pos: (264,25, 252,09) | Vel: (0,24, 0,74)
Time: 22:12:31.405 | Pos: (374,52, 304,12) | Vel: (2,15, 1,92)
Time: 22:12:31.405 | Pos: (308,88, 247,43) | Vel: (-3,74, -5,07)
Time: 22:12:31.405 | Pos: (264,25, 252,09) | Vel: (0,24, 0,74)
Time: 22:12:31.506 | Pos: (373,45, 315,82) | Vel: (-2,15, 1,92)
Time: 22:12:31.506 | Pos: (286,08, 216,51) | Vel: (-3,74, -5,07)
Time: 22:12:31.506 | Pos: (265,72, 256,60) | Vel: (0,24, 0,74)
Time: 22:12:31.506 | Pos: (373,45, 315,82) | Vel: (-2,15, 1,92)
Time: 22:12:31.506 | Pos: (286,08, 216,51) | Vel: (-3,74, -5,07)
Time: 22:12:31.506 | Pos: (265,72, 256,60) | Vel: (0,24, 0,74)
Time: 22:12:31.506 | Pos: (373,45, 315,82) | Vel: (-2,15, 1,92)
Time: 22:12:31.506 | Pos: (286,08, 216,51) | Vel: (-3,74, -5,07)
Time: 22:12:31.506 | Pos: (265,72, 256,60) | Vel: (0,24, 0,74)
Time: 22:12:31.506 | Pos: (373,45, 315,82) | Vel: (-2,15, 1,92)
Time: 22:12:31.506 | Pos: (286,08, 216,51) | Vel: (-3,74, -5,07)
Time: 22:12:31.506 | Pos: (265,72, 256,60) | Vel: (0,24, 0,74)
Time: 22:12:31.506 | Pos: (373,45, 315,82) | Vel: (-2,15, 1,92)
Time: 22:12:31.506 | Pos: (286,08, 216,51) | Vel: (-3,74, -5,07)
Time: 22:12:31.506 | Pos: (265,72, 256,60) | Vel: (0,24, 0,74)
Time: 22:12:31.506 | Pos: (373,45, 315,82) | Vel: (-2,15, 1,92)
Time: 22:12:31.506 | Pos: (286,08, 216,51) | Vel: (-3,74, -5,07)
Time: 22:12:31.506 | Pos: (265,72, 256,60) | Vel: (0,24, 0,74)
