Time: 14:17:49.839 | Pos: (207,43, 319,90) | Vel: (-0,52, 1,19)
Time: 14:17:49.839 | Pos: (55,63, 163,46) | Vel: (4,19, 5,67)
Time: 14:17:49.940 | Pos: (365,33, 297,57) | Vel: (0,95, 0,88)
Time: 14:17:49.940 | Pos: (25,92, 111,14) | Vel: (-2,73, -2,94)
Time: 14:17:49.940 | Pos: (201,72, 332,97) | Vel: (-0,52, 1,19)
Time: 14:17:49.940 | Pos: (101,71, 225,84) | Vel: (4,19, 5,67)
Time: 14:17:49.940 | Pos: (365,33, 297,57) | Vel: (0,95, 0,88)
Time: 14:17:49.940 | Pos: (25,92, 111,14) | Vel: (-2,73, -2,94)
Time: 14:17:49.940 | Pos: (201,72, 332,97) | Vel: (-0,52, 1,19)
Time: 14:17:49.940 | Pos: (101,71, 225,84) | Vel: (4,19, 5,67)
Time: 14:17:49.940 | Pos: (365,33, 297,57) | Vel: (0,95, 0,88)
Time: 14:17:49.940 | Pos: (25,92, 111,14) | Vel: (-2,73, -2,94)
Time: 14:17:49.940 | Pos: (201,72, 332,97) | Vel: (-0,52, 1,19)
Time: 14:17:49.940 | Pos: (101,71, 225,84) | Vel: (4,19, 5,67)
Time: 14:17:49.940 | Pos: (365,33, 297,57) | Vel: (0,95, 0,88)
Time: 14:17:49.940 | Pos: (25,92, 111,14) | Vel: (-2,73, -2,94)
Time: 14:17:49.940 | Pos: (201,72, 332,97) | Vel: (-0,52, 1,19)
Time: 14:17:49.940 | Pos: (101,71, 225,84) | Vel: (4,19, 5,67)
Time: 14:17:49.940 | Pos: (365,33, 297,57) | Vel: (0,95, 0,88)
Time: 14:17:49.940 | Pos: (25,92, 111,14) | Vel: (-2,73, -2,94)
Time: 14:17:49.940 | Pos: (201,72, 332,97) | Vel: (-0,52, 1,19)
Time: 14:17:49.940 | Pos: (101,71, 225,84) | Vel: (4,19, 5,67)
Time: 14:17:50.040 | Pos: (375,76, 307,26) | Vel: (0,95, 0,88)
Time: 14:17:50.040 | Pos: (6,78, 78,82) | Vel: (2,73, -2,94)
Time: 14:17:50.040 | Pos: (196,01, 346,04) | Vel: (-0,52, 1,19)
Time: 14:17:50.040 | Pos: (147,79, 288,22) | Vel: (4,19, 5,67)
Time: 14:17:50.040 | Pos: (375,76, 307,26) | Vel: (0,95, 0,88)
Time: 14:17:50.040 | Pos: (6,78, 78,82) | Vel: (2,73, -2,94)
Time: 14:17:50.041 | Pos: (196,01, 346,04) | Vel: (-0,52, 1,19)
